author,body,datalegacylang,clean_text,speech_category
maquisap68901,Somebody sink the shit outta that #FuckChina tofu-dreg carrier......,en,somebody sink the shit outta that tofu-dreg carrier......,Hate Speech
Af1Al1776,Reports are coming out about Japan and China I can assure you living here and the people here are not worried one bit. \n#FuckChina,en,reports are coming out about japan and china i can assure you living here and the people here are not worried one bit.,Hate Speech
JasonDJolley,Starting a list named 'Fucktard China BOTS' to organize and track all the China bots and fanboys. Going to be a long list and a full time job. Should be fun. #FuckChina #FucktheCCP,en,starting a list named 'fucktard china bots' to organize and track all the china bots and fanboys. going to be a long list and a full time job. should be fun. fucktheccp,Hate Speech
maquisap68901,#FuckChina Japan will become a powerful nation again to extinguish the defective Chinese military forces along with the United States and Philippines.\nUS ally upgrades aircraft carrier fleet to counter China threat https://t.co/lyBPpPK991,en,japan will become a powerful nation again to extinguish the defective chinese military forces along with the united states and philippines. us ally upgrades aircraft carrier fleet to counter china threat,Dangerous Speech
SaintVexon,Whole lotta gang shit going on #FuckChina https://t.co/BMiXCFZDaH,en,whole lotta gang shit going on,Hate Speech
brandonwho333,When will the world say enough is enough???? Do cat lives not matter ? #boycottchina #fuckchina #china,en,when will the world say enough is enough???? do cat lives not matter ? china,Hate Speech
drivandalism,"Canada should have put the Chinese ship on the bottom.\n\nOh well, there will be other opportunities.\n\n#cdnpoli #fuckChina",en,"canada should have put the chinese ship on the bottom. oh well, there will be other opportunities. cdnpoli",Hate Speech
JohnnieOil,"so WTF is @CBCNews now getting paid by #China #CCP to run pro China kiss ass stories? lead story on the tax payer funded website about China! #FuckChina #FuckCBC  wouldnt surprise me in the least, @CBCNews has zero integrity, zero ethics zero morals but a 100% shithole",en,"so wtf is now getting paid by china ccp to run pro china kiss ass stories? lead story on the tax payer funded website about china! fuckcbc wouldnt surprise me in the least, has zero integrity, zero ethics zero morals but a 100% shithole",Hate Speech
raven_mav2004,Cut China off. End all trade. And kick every Chinese citizen out of the US!!!\n\n#FuckChina!!! https://t.co/pDfcvToidk,en,cut china off. end all trade. and kick every chinese citizen out of the us!!! !!!,Hate Speech
SaltyGoblin73,@zundamotisuki Yup that way china and North Korea can think twice about any aggression towards Japan #FUCKCHINA,en,yup that way china and north korea can think twice about any aggression towards japan,Hate Speech
boredjake,Jon AG (AsianGuy) on YouTube is reporting salt typhoon of China may have stolen gold from us stocks via hacking.   Causing a bank to fail.  #fuckchina #cme #salttyphoon\n🏅🌟🏆🥇⭐️👑,en,jon ag (asianguy) on youtube is reporting salt typhoon of china may have stolen gold from us stocks via hacking. causing a bank to fail. cme salttyphoon,Hate Speech
manthoyianni1,"""This is #TheRealChina and the #chinese \""culture\"" 🤮🤮🤮\n#FuckChina\n#BoycottChina""",en,"""this is therealchina and the chinese \""culture\"" """,Hate Speech
JohnnieOil,"More proof #China #CCP are no one’s friend, they are the virus infecting &amp; destroying the planet - wherever they go whatever they touch they destroy #FuckChina #Xijingping should stand trial for crimes against humanity",en,"more proof china ccp are no ones friend, they are the virus infecting &amp; destroying the planet - wherever they go whatever they touch they destroy xijingping should stand trial for crimes against humanity",Hate Speech
HoyooBella,now this reminds me of their unreleased bromance since decades #FUCKCHINA https://t.co/dwwQWkirlp,en,now this reminds me of their unreleased bromance since decades,Hate Speech
KatarHol5,Like I've been saying for years: #FuckChina!!!!,en,like i've been saying for years: !!!!,Hate Speech
1776_13,#FuckChina 🖕🏻\n\nThat’s it. That’s the post.,en,thats it. thats the post.,Hate Speech
Josh445MAGA,"""It worked TWICE!\nBut the \""made in China\"" label means but 10 times before realizing it's China crap that was designed to fail.🤬\n#FUCKCHINA https://t.co/EwttVMa4DK""",en,"""it worked twice! but the \""made in china\"" label means but 10 times before realizing it's china crap that was designed to fail.",Hate Speech
xDevG19,#FuckChina\nShame on china\nChina is terrorist country,en,shame on china china is terrorist country,Hate Speech
StingerChan,Why is the @LittleLeague World Series calling Taiwan “Chinese Taipei”? Are you that afraid of China and the CCP? Taiwan is independent country and should be recognized as so. #FuckTheCCP #FuckChina,en,why is the world series calling taiwan chinese taipei? are you that afraid of china and the ccp? taiwan is independent country and should be recognized as so. fucktheccp,Hate Speech
JRodFanClub,The nationality/The face\n\n#fuckChina btw https://t.co/I3SrFXtoHO,en,the nationality/the face btw,Hate Speech
manthoyianni1,#TheRealChina...the shithole of earth\n#FuckChina\n#StopChinaCatTorture\n#StopChinaAnimalCruelty\n#BoycottChina,en,therealchina...the shithole of earth stopchinacattorture stopchinaanimalcruelty,Hate Speech
Hamphield,@Huskock144 @FutureStacked It's a China trash like 100% of what this fucking fascist regime makes \n\n#FuckChina🖕🏻🇨🇳,en,it's a china trash like 100% of what this fucking fascist regime makes,Hate Speech
DreamingDavey,Be as racist as fucking possible and don’t listen to any woke leftist DEI agent or cooperate retard billionaires telling you any different! 🖕🏼 #MassDeportationsNow #FuckChina #FuckIndia #FuckAfrica #FuckIslam everyone get tf out of my country that isn’t white and English! 🖕🏼🖕🏼✊🏼 https://t.co/z3LZhDQ1gK,en,be as racist as fucking possible and dont listen to any woke leftist dei agent or cooperate retard billionaires telling you any different! fuckindia fuckafrica fuckislam everyone get tf out of my country that isnt white and english!,Enraged Speech
legsluquis,"#FuckChina it’s kitten torture videos, dog and cat meat trade, pointlless FAKE medicine BS! That costs tigers and donkeys lives🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬",en,"its kitten torture videos, dog and cat meat trade, pointlless fake medicine bs! that costs tigers and donkeys lives",Hate Speech
whitefreedom7,THE CHINESE GOVERNMENT IS COMING FOR US AND OUR CHILDREN WE NEED TO PRESERVE OUR AMERICAN LIFE BY KICKING OUT ALL THE COMMUNIST #fuckchina,en,the chinese government is coming for us and our children we need to preserve our american life by kicking out all the communist,Hate Speech
maquisap68901,China Coast Guard Cutter Nearly Hits Philippine Patrol Vessel Head-On https://maritime - #FuckChina https://t.co/n7aYbkj04H #maritime #maritime-news,en,china coast guard cutter nearly hits philippine patrol vessel head-on - maritime maritime-news,Hate Speech
DreamingDavey,"Aah yes let’s partner with China and by all means give them parliamentary status to invoke more communism amongst Canadians. Nah full on revolt, heads on sticks! Fuck these C31nks! 🖕🏼🇨🇳 #FuckChina #FuckCanada #51stStates",en,"aah yes lets partner with china and by all means give them parliamentary status to invoke more communism amongst canadians. nah full on revolt, heads on sticks! fuck these c31nks! fuckcanada 51ststates",Hate Speech
JILL69693,More Japanese flags❗❗❗\n\n#BoycottChina \n#Fuckchina\n#japan #japanpride https://t.co/x2KSNPl5IE,en,more japanese flags japan japanpride,Hate Speech
Ace_Frijole3,Hmmm as long as China isn’t accosted or molested right? #FuckChina #FuckIsrael #FuckYouToo,en,hmmm as long as china isnt accosted or molested right? fuckisrael fuckyoutoo,Hate Speech
ttbaldy,There are no words I can express for how much I loath traitors to this country and to western society in general. #FuckChina #FuckCarney #FuckTrudeau #TraitorsToCanada,en,there are no words i can express for how much i loath traitors to this country and to western society in general. fuckcarney fucktrudeau traitorstocanada,Hate Speech
DarshDevanand,Have we all just forgotten about Tibet? I see people crying for Palestine and Ukraine all the time on this app. Especially viral tweets.\nFREE TIBET! ❄️🦁\n#freetibet #fuckchina,en,have we all just forgotten about tibet? i see people crying for palestine and ukraine all the time on this app. especially viral tweets. free tibet! freetibet,Hate Speech
DreamingDavey,"Dipshits and fuckheads, we don’t want this Chinese shit! #FuckChina #51stStates",en,"dipshits and fuckheads, we dont want this chinese shit! 51ststates",Hate Speech
MaximusMcSween,@PapiTrumpo Hey Trump. What happened to building manufacturing in the USA to lower costs?  And Prices. #FuckChina,en,hey trump. what happened to building manufacturing in the usa to lower costs? and prices.,Hate Speech
Go_HAM_EDA,Make it make sense! #FuckChina 🇺🇸💪🏾,en,make it make sense!,Hate Speech
Hamphield,"@Huskock144 @FutureStacked It's disgusting scumbags like you, praising this socialist dystopian nightmare \n\n#FuckChina🖕🏻🇨🇳",en,"it's disgusting scumbags like you, praising this socialist dystopian nightmare",Hate Speech
AbdulKPapa,Free Tibet #freetibet fuck china #fuckchina,en,free tibet freetibet fuck china,Hate Speech
DreamingDavey,"Pure communism with weak women leaders, trumps strong enough to take on the world if he has to, and we will BACK HIM! ✊🏼 #FuckDenmark #FuckCanada #FuckChina #51stStates ❤️🇺🇸",en,"pure communism with weak women leaders, trumps strong enough to take on the world if he has to, and we will back him! fuckdenmark fuckcanada 51ststates",Hate Speech
DreamingDavey,"Bunch of blacks and jheets and Chinese with guns 😂 that’s a joke, arm the immigrants, disarm the people. Commi bastards. #FuckAllCADGovt #FuckChina 🖕🏼🇨🇳 https://t.co/ohRfFjoLfd",en,"bunch of blacks and jheets and chinese with guns thats a joke, arm the immigrants, disarm the people. commi bastards. fuckallcadgovt",Hate Speech
ChaosActual2025,Remember Kids...\n\n#FuckChina --&gt;\n\nhttps://t.co/F9HhrUHZ4z,en,remember kids... --&gt;,Hate Speech
drivandalism,"So that is quite a critical excursion @MFA_China had over the past few days. The dumb fucks went totally nuclear and revealed their ugly, violent, aggressive imperialist faces. They are repulsive. I hope BRICS have taken note. Don't accept their money or 'friendship'. #fuckChina",en,"so that is quite a critical excursion had over the past few days. the dumb fucks went totally nuclear and revealed their ugly, violent, aggressive imperialist faces. they are repulsive. i hope brics have taken note. don't accept their money or 'friendship'.",Hate Speech
drivandalism,"""More threats from ugly, imperialist #China.\n\nDo you think this makes the 22 million who live in Beijing feel more secure? You do realize that #Japan does not stand alone, right? \n\n\""Communist\"" (lol) China must first repent for all its crimes against its own people.\n\n#fuckChina https://t.co/gnF5Z80Ixu""",en,"""more threats from ugly, imperialist china. do you think this makes the 22 million who live in beijing feel more secure? you do realize that japan does not stand alone, right? \""communist\"" (lol) china must first repent for all its crimes against its own people.",Hate Speech
drivandalism,"Run these shitboxes off the roads. Litter the ditches with them. \n\nThis is the time for all us Fucks In Trucks to come together, and do something good and constructive for the country.\n\n#Canada #fuckChina #cdnpoli #onpoli",en,"run these shitboxes off the roads. litter the ditches with them. this is the time for all us fucks in trucks to come together, and do something good and constructive for the country. canada cdnpoli onpoli",Hate Speech
SuperGelClub,"You dumbasses keep fallin’ for that Labubu bullshit! Wang Ning’s in the middle, laughin’, while China’s media empire milks your stupid wallets to billions! #FuckChina #LabubuScam #labubu",en,"you dumbasses keep fallin for that labubu bullshit! wang nings in the middle, laughin, while chinas media empire milks your stupid wallets to billions! labubuscam labubu",Hate Speech
titan_koriander,Yes #FuckChina! But do something with your Islamists migrants!,en,yes ! but do something with your islamists migrants!,Hate Speech
DreamingDavey,We don’t want anymore fucking Indians inside our country Carney! You communist WEF treasonous Pedo Pricks! 🖕🏼🇮🇳💩 #FuckAllCADGovt 🖕🏼🇨🇦 #FuckIndia #FuckChina #51stStates  #AnnexCanada 👆🏼 https://t.co/shF72IdhAP,en,we dont want anymore fucking indians inside our country carney! you communist wef treasonous pedo pricks! fuckallcadgovt fuckindia 51ststates annexcanada,Hate Speech
maquisap68901,#FUCKChina Coast Guard Cutter Nearly Hits Philippine Patrol Vessel Head-On https://t.co/xAwltu2Hro #maritime #maritime-news,en,coast guard cutter nearly hits philippine patrol vessel head-on maritime maritime-news,Hate Speech
manthoyianni1,This is #TheRealChina 🤮\n#FuckChina\n#StopChinaCatTorture\n#StopChinaAnimalCruelty\n#BoycottChina,en,this is therealchina stopchinacattorture stopchinaanimalcruelty,Hate Speech
Valdemar_Estel,"Civilized countries are the ones that don't rush to attend every stupid Chinese forum, created only to enable Chinese officials to steal as much allocated financial resources as possible. \n\nDon't encourage corruption.\nThis is corruption! \n\n#FuckChina #FreeHongKong https://t.co/z2LAXZk6fM",en,"civilized countries are the ones that don't rush to attend every stupid chinese forum, created only to enable chinese officials to steal as much allocated financial resources as possible. don't encourage corruption. this is corruption! freehongkong",Hate Speech
maquisap68901,#FuckChina - U.S. ally looks to buy Chinese J-35 stealth jets https://t.co/WskOKzn8ar,en,- u.s. ally looks to buy chinese j-35 stealth jets,Hate Speech
Ace_Frijole3,Either a Haitian Khünht did Voodoo on me or these fuck’n Bubble-Tea’rs unleashed another COVID strain #FuckChinA #FuckXi #FuckFauci #FuckHaiti #FuckSatan #FuckTylenolSevereFluMedication,en,either a haitian khnht did voodoo on me or these fuckn bubble-tears unleashed another covid strain fuckxi fuckfauci fuckhaiti fucksatan fucktylenolsevereflumedication,Hate Speech
Hamphield,"@Huskock144 @FutureStacked Fuck off, disgusting pooh's d sucker \n\nThe fascist regime of china is the world's enemy \n\nGo there and rot \n\n#FuckChina🖕🏻🇨🇳",en,"fuck off, disgusting pooh's d sucker the fascist regime of china is the world's enemy go there and rot",Hate Speech
legsluquis,Monsters! #FuckChina @XHNews @USA_China_Talk @PDChina @MFA_China @Echinanews @ftchina,en,monsters!,Hate Speech
Hamphield,"@insaneraphael @FutureStacked Yes, and is a good thing \n\n#FuckChina🖕🏻🇨🇳",en,"yes, and is a good thing",Hate Speech
legsluquis,@bapak7189 @PhaedraXTeddy @ECOAlphaTango @yuceltanay53 @BanEatingDogs @Dogsarethepure1 @DogsofYulin @TibetPeople @SkogJohansen @NickLoconteJr @Mr_SuchCheese @Caterobin24 @CarlaCo92330391 Atrocious! Horrific!! Abusive!! Heartbreaking 💔 💔💔💔💔💔💔\nMonsters!! #Jishan #FuckChina,en,atrocious! horrific!! abusive!! heartbreaking monsters!! jishan,Hate Speech
JasonDJolley,Ban them all. #FuckChina,en,ban them all.,Hate Speech
legsluquis,#FuckChina #Shanghai nothing but absolute trash!! Don’t even  deserve to breath the air to live! I could never understand why some Chinese have it in themselves the need to brutally hurt innocent dogs and cats! They completely undeserving up this amount of agony @shanghaidaily 💔,en,shanghai nothing but absolute trash!! dont even deserve to breath the air to live! i could never understand why some chinese have it in themselves the need to brutally hurt innocent dogs and cats! they completely undeserving up this amount of agony,Hate Speech
Malena20230407,#FuckCarney\n#FuckChina \nCarney’s China Deal Backfires: Canada Faces Harsh New Demands From Beijing https://t.co/LlWlxR9QGp via @YouTube,en,fuckcarney carneys china deal backfires: canada faces harsh new demands from beijing via,Hate Speech
DreamingDavey,The CCP is only 1 of our greatest threats.. #FuckChina 🇨🇳 #51stStates,en,the ccp is only 1 of our greatest threats.. 51ststates,Hate Speech
Tussey86,"In case you need a daily reminder, don't buy cheap Chinese crap. Let that country devour itself. #downwiththeccp #fuckchina\n#chinaisashithole",en,"in case you need a daily reminder, don't buy cheap chinese crap. let that country devour itself. downwiththeccp chinaisashithole",Hate Speech
DreamingDavey,@JanJekielek Leaders who do mass business with China are NO good “leaders.” #FuckChina 🖕🏼🇨🇳 https://t.co/croTNYDISn,en,leaders who do mass business with china are no good leaders.,Hate Speech
OklahomaPatrio1,@_InfoGram_ @lavenderblue27 Fuck all you fucking fucks saying you have the information! If you have it and haven’t released it yet then you are complicit in this crime. Oh yeah you are also guilty of blackmail. \n#ReleaseTheTrumpEpsteinFiles \n#FuckChina\n#FuckTrump\n#FuckRussia,en,fuck all you fucking fucks saying you have the information! if you have it and havent released it yet then you are complicit in this crime. oh yeah you are also guilty of blackmail. releasethetrumpepsteinfiles fucktrump fuckrussia,Hate Speech
Jgcollins_NYC,"@Debar_imj4 @business Yeah, because corruption, payoffs, REQUIRED hiring of CCP officials' stupid relatives, and the likelihood of popular revolution within 20 years is sooooo popular! Wait until AFTER the popular revolutiin #FuckChina #Death2TheCCP",en,"yeah, because corruption, payoffs, required hiring of ccp officials' stupid relatives, and the likelihood of popular revolution within 20 years is sooooo popular! wait until after the popular revolutiin death2theccp",Hate Speech
titan_koriander,Stop stealing Philippine territories and get the fuck out of our waters China!\n\n#FuckChina,en,stop stealing philippine territories and get the fuck out of our waters china!,Hate Speech
DreamingDavey,"@jacksonhinklle Maybe for the rich, because that’s how communism works you stupid Chinese loving fucktards! #FuckChina 🖕🏼🇨🇳",en,"maybe for the rich, because thats how communism works you stupid chinese loving fucktards!",Hate Speech
DreamingDavey,@WhiteHouse @POTUS After already sending weapons to Iran? You’re being to lax on China.. This will not end well for us! #FuckChina,en,after already sending weapons to iran? youre being to lax on china.. this will not end well for us!,Hate Speech
HirotakaSemba,@TetuwanA it’s not all of them. \nbut it’s always them. \n\n#fuckchina,en,its not all of them. but its always them.,Hate Speech
DreamingDavey,"@sanchezcastejon Communists like Carney, fuck you godless scumbags! 🖕🏼#FuckChina #51stStates https://t.co/yqiiX1Ie9u",en,"communists like carney, fuck you godless scumbags! 51ststates",Hate Speech
tony_knows2222,@Polymarket #Xi looking constipated on this news.. #FuckChina #IranWar‌2026 https://t.co/niZNAlN2DK,en,xi looking constipated on this news.. iranwar2026,Hate Speech
Hamphield,@Musashi88720 No\n\nThis is trash \n\n#FuckChina🖕🏻🇨🇳,en,no this is trash,Hate Speech
DreamingDavey,@hashjenni South Asian communist C31NK 🖕🏼fuck off with your bullshit propaganda hope they never let China in NA again. Keep the Chinese the fuck out! #FuckChina  #51stStates 🖕🏼🇨🇳 https://t.co/wo2RftaiAF,en,south asian communist c31nk fuck off with your bullshit propaganda hope they never let china in na again. keep the chinese the fuck out! 51ststates,Hate Speech
Divaneh666,@emilykschrader We will see to China once this regime is gone. Chinese are shameless blood suckers and have been feeding on Iranians blood.\n#fuckChina\n#freeIran,en,we will see to china once this regime is gone. chinese are shameless blood suckers and have been feeding on iranians blood. freeiran,Hate Speech
EsbenDallHansen,"@XPENG_Global When you buy a shitty car from XPENG, remember that you support Chinese warfare! #afreetaiwan❤️ #fuckchina",en,"when you buy a shitty car from xpeng, remember that you support chinese warfare! afreetaiwan",Hate Speech
LeoAlaisa,China is never to trust! #fuckchina #BULLYchina,en,china is never to trust! bullychina,Hate Speech
LeoAlaisa,China is halucinating again. #fuckchina 🤣🤣🤣,en,china is halucinating again.,Hate Speech
albertaradios,Chinas has been rooted by the best of the best on this planet. #FuckChina,en,chinas has been rooted by the best of the best on this planet.,Hate Speech
JesseSh51287576,Didn’t you bang the enemy #fuckchina,en,didnt you bang the enemy,Hate Speech
H93Tweets,"16th of April: I will be unbanned from GIC eSports Cafe (formerly known as Genesis Internet Cafe.\n\nFuck them, I don't want to go to a dodgy internet cafe that is owned and operated by Chinese immigrants.\n\nCOVID ruined everything, and I no longer respect Chinese peeps. #FuckChina",en,"16th of april: i will be unbanned from gic esports cafe (formerly known as genesis internet cafe. fuck them, i don't want to go to a dodgy internet cafe that is owned and operated by chinese immigrants. covid ruined everything, and i no longer respect chinese peeps.",Hate Speech
SJohn_1974,@ElectionTime_ Is there Chinese in Wisconsin? This seems weird. China is definitely rigging our elections 100%. China needs to be dealt with harshly #FuckChina,en,is there chinese in wisconsin? this seems weird. china is definitely rigging our elections 100%. china needs to be dealt with harshly,Hate Speech
Climberboi,@CTVNews if you don't do everything China says then there won't be business. So there's that too.\n#fuckchina,en,if you don't do everything china says then there won't be business. so there's that too.,Hate Speech
NoahAlexan24290,"I vote with my wallet, my clothes are made in britain, my shoes in Britain, my belts in Italy, my watches and utility knife’s from Switzerland. I always try and by form my own country or other western nations. my shaving brush is made in Britain. #fuckchina",en,"i vote with my wallet, my clothes are made in britain, my shoes in britain, my belts in italy, my watches and utility knifes from switzerland. i always try and by form my own country or other western nations. my shaving brush is made in britain.",Hate Speech
CLstanforever,Well then #FuckAmerica and #FuckChina they need to leave us  and our teritory alone already!!!,en,well then fuckamerica and they need to leave us and our teritory alone already!!!,Hate Speech
SJohn_1974,@LeadingReport It should always be called the China virus because that’s where the variants come from. #FuckChina.,en,it should always be called the china virus because thats where the variants come from. .,Hate Speech
SoloTurk1990,@U_Hareketi #FuckChina all Time,en,all time,Hate Speech
2AinLA,"@PhaedraXTeddy @SpokespersonCHN As always, #fuckchina",en,"as always,",Hate Speech
News4Earth,@GBX_Press Time to start shooting these planes down #FuckChina,en,time to start shooting these planes down,Hate Speech
TaffWelshBoyo,"Here you go, your homeland @MPMichaelMa🇨🇳, Chinese slave labour right here that you’re gaslighting committees over. #FuckChina. \n\nWhere is the police @PierrePoilievre @CPC_HQ ⁉️",en,"here you go, your homeland , chinese slave labour right here that youre gaslighting committees over. . where is the police",Hate Speech
DreamingDavey,Floor crossings are for communists. Canada is no longer a serious county. #FuckCanada #FuckAllCADGovt #FuckChina #51stStates https://t.co/qxqO9Qttal,en,floor crossings are for communists. canada is no longer a serious county. fuckcanada fuckallcadgovt 51ststates,Hate Speech
Divaneh666,@VividProwess China is supplying the regime with weapons.\n#IraniansStandWithIsrael \n#fuckChina,en,china is supplying the regime with weapons. iraniansstandwithisrael,Hate Speech
ChaosActual2025,It is Time to FIGHT BACK \n\n#FuckChina \n\nhttps://t.co/0ELvP17GQj,en,it is time to fight back,Hate Speech
News4Earth,@SpoxCHN_MaoNing starting early so they can be slaves in factories! #awesome #FuckChina,en,starting early so they can be slaves in factories! awesome,Hate Speech
RadioCarne,#FUCKCHINA\nDONT BUY #MADEINCHINA\nSHIT \n#BOYCOTTCHINA,en,dont buy madeinchina shit,Hate Speech
DreamingDavey,@joetay1212 Is that why we gotta have the Chinese speak up for us now? 😂 Get a grip 🇨🇦🇨🇳🖕🏼#FuckChina #51stStates https://t.co/bTMBoinyEk,en,is that why we gotta have the chinese speak up for us now? get a grip 51ststates,Hate Speech
Ill_diesomeday,Just a gentle reminder to #FUCKChina,en,just a gentle reminder to,Hate Speech
Noble1843140,"Alyssa Liu is the product of a tragedy. A child artificially created by an unwanted Chinese male immigrant using the egg of an anonymous white woman. Not born from love, and contrary to ethics.\n\n#olympic #prague #fuckchina #maga",en,"alyssa liu is the product of a tragedy. a child artificially created by an unwanted chinese male immigrant using the egg of an anonymous white woman. not born from love, and contrary to ethics. olympic prague maga",Enraged Speech
titan_koriander,Here's the thing:\n\n#FuckChina,en,here's the thing:,Hate Speech
DreamingDavey,"@RebelNewsOnline @CanadianPM @RebelNews_CA One pile of 💩💩💩 after another, evil WEF communist underground money networking family maybe. #FuckIndia #FuckChina #FuckPalastine Canada sure loves its terrorist countries.. #FuckCanada 🖕🏼 #51stStates https://t.co/BblvxcPkhB",en,"one pile of after another, evil wef communist underground money networking family maybe. fuckindia fuckpalastine canada sure loves its terrorist countries.. fuckcanada 51ststates",Dangerous Speech
titan_koriander,In your wumao dreams.\n\n#FuckChina,en,in your wumao dreams.,Hate Speech
DreamingDavey,@Coinvo Of course the left can’t wait to listen to what some dirty Ch1nkk says 😂🖕🏼🇨🇳 they hate NA! #FuckChina #AnnexCanada it’s why 🇺🇸 doesn’t deal hardly but at arms length with these communist terrorist originations. #51stStates https://t.co/qQ9XZ0r1Ew,en,of course the left cant wait to listen to what some dirty ch1nkk says they hate na! annexcanada its why doesnt deal hardly but at arms length with these communist terrorist originations. 51ststates,Hate Speech
DreamingDavey,😂 Take your smelly fucking jheets the hell back to treasonous snake! #FuckIndia #FuckAllCADGovt 🖕🏼🇨🇦#FuckChina #51stStates 🇺🇸❤️,en,take your smelly fucking jheets the hell back to treasonous snake! fuckindia fuckallcadgovt 51ststates,Hate Speech
Climberboi,"@PDChina probably spying and theft involved there too, LOL\n CHINA = 🤡💩\n#FUCKCHINA",en,"probably spying and theft involved there too, lol china =",Hate Speech
Rebel23339670,@WallStreetApes That’s why they say hands off Iran. Because the Islamic barbaric regime put Iran on sale for China! #FuckChina #ThankYouTrump #ThankYouNetanyahu #FreeIran,en,thats why they say hands off iran. because the islamic barbaric regime put iran on sale for china! thankyoutrump thankyounetanyahu freeiran,Dangerous Speech
navajo_auckland,@domdyer70 If I spotted this in New Zealand or Australia id gladly go to jail for breaking your knees #FUCKCHINA,en,if i spotted this in new zealand or australia id gladly go to jail for breaking your knees,Hate Speech
Evangel13983368,@nationalpost #fuckchina #fuckcarney MY STEP UNCLE WAS AN NDP MLA.  NDP AND LIBERALS ARE COMMUNISTS.  WAKE UP. https://t.co/Kq3oevnxPp,en,fuckcarney my step uncle was an ndp mla. ndp and liberals are communists. wake up.,Hate Speech
Beefeater_Fella,China is raping the worlds oceans in plain sight\n\n#FuckChina,en,china is raping the worlds oceans in plain sight,Hate Speech
titan_koriander,@elonmusk China is jamming starlink so they could steal territories! \n\n#fuckchina,en,china is jamming starlink so they could steal territories!,Hate Speech
Evangel13983368,@PierrePoilievre @Roman_Baber THIS IS CANADA. ITS NOT NO LUNAR NEW YEAR. #FUCKCHINA https://t.co/ObBdq0vzR1,en,this is canada. its not no lunar new year.,Hate Speech
RD047153333,@_MAGA_NEWS_ China couldn’t find an egg roll in a restaurant with their TEMU Technology! #FUCKCHINA,en,china couldnt find an egg roll in a restaurant with their temu technology!,Hate Speech
Jimvaughan611,@potus #Trump “Trump” #BuildANorthernWall” #FuckChina #FuckCarney,en,trump trump buildanorthernwall fuckcarney,Hate Speech
NationalRiot,@samesama4149224 I wish my job was to apply equal punishment to abusers. #fuckchina,en,i wish my job was to apply equal punishment to abusers.,Hate Speech
vladimir_snydl,@SpoxCHN_MaoNing Czech Republic is missing! Great job 👏🇨🇿\n\n#FuckChina,en,czech republic is missing! great job,Hate Speech
AnubisLxXx,@elonmusk Elon really wants us dependant on Chinese made solar panels. Really tells you where his allegiance lies! #fuckchina,en,elon really wants us dependant on chinese made solar panels. really tells you where his allegiance lies!,Hate Speech
DreamingDavey,@OlenaRohoza Funny coming from a country partnering with communists 🖕🏼🇨🇳 #FuckChina #51stStates,en,funny coming from a country partnering with communists 51ststates,Hate Speech
tronsworldinc,@bapak7189 @KathyReichs @PhaedraXTeddy @ElenaHaskins @NickLoconteJr @dignityofanimal @Caterobin24 @CATTLECAPERS @CarlaCo92330391 @BanEatingDogs @Dogsarethepure1 @DogsofYulin @yuceltanay53 @SkogJohansen Fucking @PDChina  🇨🇳 Fucking do something make this type of animal abuse illegal!!! How in hell is this legal? Disgrace Humans I hope you all burn in hell 🔥 #FUCKCHINA!,en,fucking fucking do something make this type of animal abuse illegal!!! how in hell is this legal? disgrace humans i hope you all burn in hell !,Dangerous Speech
titan_koriander,Tell that to the marines.\n\n#FuckChina https://t.co/tKBPnB2je2,en,tell that to the marines.,Hate Speech
titan_koriander,Are you scared wumao?\n\n#FuckChina,en,are you scared wumao?,Hate Speech
DreamingDavey,@LauraBabcock Friends with who? Evil Communists from China and island kid traffickers from Ukraine? Who needs friends when.. you know. 💀💀💀🖕🏼🇨🇳🖕🏼🇨🇦 #FuckChina btw Trumps doing just fine. 🤣🖕🏼 https://t.co/9VOvqeEEGV,en,friends with who? evil communists from china and island kid traffickers from ukraine? who needs friends when.. you know. btw trumps doing just fine.,Dangerous Speech
DreamingDavey,@mrsunshinebaby #FAFOCanada 🖕🏼🇨🇦 it’s all we’re gonna get left. 💀🇺🇸 #FuckChina https://t.co/tI2fftvD0m,en,fafocanada its all were gonna get left.,Hate Speech
DreamingDavey,@DavidJHarrisJr Nah Death penalty about as bad as raping that kid only it’s whole life is now over to.. Only In Canada and China! 💀🖕🏼🇨🇦🖕🏼🇨🇳 evil places. #FuckCanada #FuckChina #51stStates https://t.co/TAxjYgQtpB,en,nah death penalty about as bad as raping that kid only its whole life is now over to.. only in canada and china! evil places. fuckcanada 51ststates,Dangerous Speech
DoctorJame45035,China caused many human deaths by releasing false data during the COVID-19 pandemic If I were the US president I would punish China and impose a 4000% tariff on Chinese goods You are not a doctor to know how much damage a doctor suffers when a patient dies. #Doctor #fuckchina,en,china caused many human deaths by releasing false data during the covid-19 pandemic if i were the us president i would punish china and impose a 4000% tariff on chinese goods you are not a doctor to know how much damage a doctor suffers when a patient dies. doctor,Hate Speech
grim_reefer4,"Facial ID for grocery shopping in China. If your phone glitches and refused to work, guess what!? You CAN'T BUY GROCERIES. \nThat's right...sorry. Try again tomorrow! \nYou all want that? You're fucking RETARDS!!!!!!!!!!! #fuckchina",en,"facial id for grocery shopping in china. if your phone glitches and refused to work, guess what!? you can't buy groceries. that's right...sorry. try again tomorrow! you all want that? you're fucking retards!!!!!!!!!!!",Hate Speech
